,is_sarcastic,titles,article_link
28,1,Nancy Pelosi Assures Democratic Reps They Don’t Need To Try Being Productive During Stressful Pandemic,https://politics.theonion.com/nancy-pelosi-assures-democratic-reps-they-don-t-need-to-1843003799
29,1,"Obama: ‘I’m So Proud To Endorse Joe Biden—That’s Who They Went With, Huh?—For President’",https://politics.theonion.com/obama-i-m-so-proud-to-endorse-joe-biden-that-s-who-th-1842881728
30,1,"‘It Was, For, Uh, Medical Reasons,’ Says Doctor To Boris Johnson, Explaining Why They Had To Give Him Haircut",https://politics.theonion.com/it-was-for-uh-medical-reasons-says-doctor-to-bori-1842783204
31,1,"‘I Congratulate Joe Biden, A Very Decent Man,’ Says Bernie Sanders In Unprovoked Attack On Democratic Party Unity",https://politics.theonion.com/i-congratulate-joe-biden-a-very-decent-man-says-ber-1842759492
32,1,Wisconsin Primary Voters Receive ‘I Voted’ Gravestones,https://politics.theonion.com/wisconsin-primary-voters-receive-i-voted-gravestones-1842729790
33,1,Senator Kelly Loeffler Asks For Prayers After Losing $3 On Single Stock Due To Coronavirus,https://politics.theonion.com/senator-kelly-loeffler-asks-for-prayers-after-losing-3-1842729741
34,1,Georgia Governor Argues That Closing State’s Beaches An Attack On Citizens’ Fundamental Right To Get Wet ’N’ Wild,https://politics.theonion.com/georgia-governor-argues-that-closing-state-s-beaches-an-1842709493
35,1,Trump Admits 18 New States To Increase Competition For Medical Supplies,https://politics.theonion.com/trump-admits-18-new-states-to-increase-competition-for-1842708962
36,1,Southern Governors Argue Covid-19 Good Christian Virus That Wouldn’t Dare Spread During Church,https://politics.theonion.com/southern-governors-argue-covid-19-good-christian-virus-1842665057
37,1,Jared Kushner Says States Should Have Planned Ahead Before Joining The Union,https://politics.theonion.com/jared-kushner-says-states-should-have-planned-ahead-bef-1842664879
38,1,Trump Tackles Medical Supply Shortage By Awarding ExxonMobil Contract To Drill For Ventilators In Arctic,https://politics.theonion.com/trump-tackles-medical-supply-shortage-by-awarding-exxon-1842588943
39,1,Trump Delays Easter To July 15 To Keep Promise On Coronavirus,https://politics.theonion.com/trump-delays-easter-to-july-15-to-keep-promise-on-coron-1842566559
40,1,Trump Announces Plan To Retrain Nation’s 3 Million Unemployed Americans As Human Ventilators,https://politics.theonion.com/trump-announces-plan-to-retrain-nation-s-3-million-unem-1842531861
41,1,What’s In Congress’ Coronavirus Stimulus Bill,https://politics.theonion.com/what-s-in-congress-coronavirus-stimulus-bill-1842530403
42,1,"Congress Sets Aside $1,200 In Trust For Each American Until They Prove They’re Responsible Enough To Handle It",https://politics.theonion.com/congress-sets-aside-1-200-in-trust-for-each-american-u-1842509829
43,1,Trump Suggests Ceding New York To Coronavirus As Possible Appeasement Strategy,https://politics.theonion.com/trump-suggests-ceding-new-york-to-coronavirus-as-possib-1842477073
44,1,Trump Urges Loosening CDC Restrictions To Let Coronavirus Get To Work,https://politics.theonion.com/trump-urges-loosening-cdc-restrictions-to-let-coronavir-1842473921
45,1,GOP Urges End Of Quarantine For Lifeless Bipedal Automatons That Make Economy Go,https://politics.theonion.com/gop-urges-end-of-quarantine-for-lifeless-bipedal-automa-1842461351
46,1,Richard Burr Wondering When Profiting Off Mass Suffering Suddenly Became A Crime In This Country,https://politics.theonion.com/richard-burr-wondering-when-profiting-off-mass-sufferin-1842428330
47,1,Trump Administration Releases Best Case Scenario Projections For Coronavirus Where 8 Million Iranian People Die,https://politics.theonion.com/trump-administration-releases-best-case-scenario-projec-1842417623
48,1,Trump Seeks To Stimulate Economy By Sending Rare Autographed Photo To Every American,https://politics.theonion.com/trump-seeks-to-stimulate-economy-by-sending-rare-autogr-1842415662
49,1,Triumphant Jared Kushner Announces Plan To Move CDC Headquarters To Jerusalem,https://politics.theonion.com/triumphant-jared-kushner-announces-plan-to-move-cdc-hea-1842410349
50,1,"Trump Quietly Checks With Aides To Make Sure He’d Be Included In Receiving $1,000 Government Checks",https://politics.theonion.com/trump-quietly-checks-with-aides-to-make-sure-he-d-be-in-1842399427
51,1,Conservative Worries Relief Checks Would Discourage Americans From Providing For Selves By Killing Him And Taking His Property,https://politics.theonion.com/conservative-worries-relief-checks-would-discourage-ame-1842396398
52,1,Congress Allocates $2 Trillion To Bail Out Struggling Bailout Industry,https://politics.theonion.com/congress-allocates-2-trillion-to-bail-out-struggling-b-1842376525
53,1,Biden Pledges To Select Woman As Vice President Since Position Doesn’t Entail Much Anyway,https://politics.theonion.com/biden-pledges-to-select-woman-as-vice-president-since-p-1842364522
54,1,‘I Have Coronavirus And I Am Dead’ Says Trump Furthering Confusion Over COVID-19,https://politics.theonion.com/i-have-coronavirus-and-i-am-dead-says-trump-furtherin-1842318188
55,1,Frustrated Jared Kushner Doesn’t Get Why Everyone In Media Attacking His Qualifications Like They Didn’t Just Get Jobs Through Nepotism Too,https://politics.theonion.com/frustrated-jared-kushner-doesn-t-get-why-everyone-in-me-1842315981
56,1,Kushner Announces Doctors HATE Him After He Discovered One Weird Trick To CURE Coronavirus,https://politics.theonion.com/kushner-announces-doctors-hate-him-after-he-discovered-1842314975
57,1,Trump Assures Americans He Called 911 To Report Coronavirus Outbreak,https://politics.theonion.com/trump-assures-americans-he-called-911-to-report-coronav-1842314224
58,1,Federal Reserve Takes Drastic Action By Pumping $1.5 Trillion Into The Ether,https://politics.theonion.com/federal-reserve-takes-drastic-action-by-pumping-1-5-tr-1842301038
59,1,Biden Extends Olive Branch To Biden Supporters,https://politics.theonion.com/biden-extends-olive-branch-to-biden-supporters-1842269384
60,1,Tulsi Gabbard Named Democratic Nominee After Discovery Of Obscure Rule That Grants Nomination To Whoever Wins 0.7% Of The Vote In Missouri,https://politics.theonion.com/tulsi-gabbard-named-democratic-nominee-after-discovery-1842268489
61,1,"‘Vote Blue No Matter Who, Vote Blue No Matter Who,’ Chants Man Filling In Every Bubble On Democratic Primary Ballot",https://politics.theonion.com/vote-blue-no-matter-who-vote-blue-no-matter-who-cha-1842237379
62,1,Biden Gives Speech From South African Jail Cell Where He Still Imprisoned For Supporting Nelson Mandela,https://politics.theonion.com/biden-gives-speech-from-south-african-jail-cell-where-h-1842213538
63,1,Key Priorities For Trump’s Reelection Campaign,https://politics.theonion.com/key-priorities-for-trump-s-reelection-campaign-1842156367
64,1,Biden Defends Past Inappropriate Touching Of Women As Symptom Of Stuttering Hands,https://politics.theonion.com/biden-defends-past-inappropriate-touching-of-women-as-s-1842129609
65,1,Ruth Bader Ginsburg Flirting With 67-Year-Old Intern Again,https://politics.theonion.com/ruth-bader-ginsburg-flirting-with-67-year-old-intern-ag-1842129352
66,1,"Vindictive Amy Klobuchar Elected Mayor Of South Bend, Indiana",https://politics.theonion.com/vindictive-amy-klobuchar-elected-mayor-of-south-bend-i-1842125399
67,1,Biden Wondering Where All This Support Was When He Still Had Functioning Brain,https://politics.theonion.com/biden-wondering-where-all-this-support-was-when-he-stil-1842124077
68,1,Sanders Supporter Urges Importance Of Listening To Minority Voices Just Not Specifically The Ones Who Handed Victory To Biden,https://politics.theonion.com/sanders-supporter-urges-importance-of-listening-to-mino-1842094286
69,1,Frustrated Bloomberg Staffer Literally Just Aborted Fetus For This Job,https://politics.theonion.com/frustrated-bloomberg-staffer-literally-just-aborted-fet-1842092411
70,1,Biden Says Incredible Comeback Proves He Can Beat Progressive Democrat In A General Election,https://politics.theonion.com/biden-says-incredible-comeback-proves-he-can-beat-progr-1842091985
71,1,Last-Minute Change To Super Tuesday Primary Rules Requires All 14 States To Vote At Same Polling Place,https://politics.theonion.com/last-minute-change-to-super-tuesday-primary-rules-requi-1842061470
72,1,Biden Confident After Spending Super Tuesday Stumping Across Iowa,https://politics.theonion.com/biden-confident-after-spending-super-tuesday-stumping-a-1842059760
73,1,"Buttigieg Drops Out Of Democratic Race After Slamming Own Plan To Be President As ‘Naive, Unrealistic Pipe Dream’",https://politics.theonion.com/buttigieg-drops-out-of-democratic-race-after-slamming-o-1842030293
74,1,Damning New Footage Shows Sanders In 1980s Arguing Madonna Could Never Make Transition From Music To Film,https://politics.theonion.com/damning-new-footage-shows-sanders-in-1980s-arguing-mado-1842016455
75,1,Trump Claims Responsibility For Longest Black History Month In 4 Years,https://politics.theonion.com/trump-claims-responsibility-for-longest-black-history-m-1841991793
76,1,"Warren Tells Supporters To Cut That Pinterest Shit Out, This Is Serious",https://politics.theonion.com/warren-tells-supporters-to-cut-that-pinterest-shit-out-1841979434
77,1,Obama Kind Of Hurt No One’s Even Asked For His Endorsement,https://politics.theonion.com/obama-kind-of-hurt-no-one-s-even-asked-for-his-endorsem-1841978356
78,1,‘I’ll Show Those Pricks!’ Screams Mitt Romney Driving Busload Of Pregnant Women To Abortion Clinic After Being Disinvited To CPAC,https://politics.theonion.com/i-ll-show-those-pricks-screams-mitt-romney-driving-b-1841961340
79,1,"‘I Like This Candidate Now And Will Vote For Him,’ Says Area Man After Having To Watch 12th Bloomberg Ad In Single Day",https://politics.theonion.com/i-like-this-candidate-now-and-will-vote-for-him-says-1841952651
80,1,Candidates Struggle To Answer Question About Future Of Granite Countertops During HGTV Town Hall,https://politics.theonion.com/candidates-struggle-to-answer-question-about-future-of-1841942438
81,1,Sanders Supporter Sick Of Movement Being Defined By Small Number Of Toxic Members Like Him,https://politics.theonion.com/sanders-supporter-sick-of-movement-being-defined-by-sma-1841936650
82,1,Trump Holds Diplomatic Ceremony To Formally Welcome Coronavirus To United States,https://politics.theonion.com/trump-holds-diplomatic-ceremony-to-formally-welcome-cor-1841935942
83,1,Moderators Kick Off Debate By Asking Whether Bloomberg Ready To Get Shit Rocked Again,https://politics.theonion.com/moderators-kick-off-debate-by-asking-whether-bloomberg-1841920478
84,1,Klobuchar Hoping To Distinguish Herself During Debate As Only Candidate Not Sucker Punched In Gut Moments Before Stepping On Stage,https://politics.theonion.com/klobuchar-hoping-to-distinguish-herself-during-debate-a-1841919958
85,1,Elena Kagan Worried She’s A Fraud After Being Only Female Justice Not Called Out By Trump,https://politics.theonion.com/elena-kagan-worried-she-s-a-fraud-after-being-only-fema-1841917179
86,1,Trump In India Hails Blossoming Relations Between The 2 Planets,https://politics.theonion.com/trump-in-india-hails-blossoming-relations-between-the-2-1841893559
87,1,Embarrassed Heart Surgeon Admits He May Have Accidentally Left Sanders’ Medical Records In Candidate’s Chest,https://politics.theonion.com/embarrassed-heart-surgeon-admits-he-may-have-accidental-1841892496
88,1,"Trump Administration Rolls Back Hunting Regulations Forbidding Use Of Chokeholds, Eye Gouging On Birds",https://politics.theonion.com/trump-administration-rolls-back-hunting-regulations-for-1841839546
89,1,Experts Concerned Pale Russian Mystic Constantly At Trump’s Side May Attempt To Influence 2020 Election,https://politics.theonion.com/experts-concerned-pale-russian-mystic-constantly-at-tru-1841836220
90,1,Biden Begging Donors To Stop Sending Money So He Can Quit Race,https://politics.theonion.com/biden-begging-donors-to-stop-sending-money-so-he-can-qu-1841815298
91,1,"‘Four Quarts Make A Gallon. The Frontal Lobe Controls Decision Making. The Ottoman Empire Dissolved In 1922,” Says Amy Klobuchar, Continuing To Name Trivia Facts Hours After Debate Ends",https://politics.theonion.com/four-quarts-make-a-gallon-the-frontal-lobe-controls-d-1841812888
92,1,Stephen Miller Spends Entire Honeymoon In Hotel Room Calling ICE On Cleaning Staff,https://politics.theonion.com/stephen-miller-spends-entire-honeymoon-in-hotel-room-ca-1841810287
93,1,Increased Airtime Of Chantix Commercials Results In Ray Liotta Qualifying For Democratic Debate,https://politics.theonion.com/increased-airtime-of-chantix-commercials-results-in-ray-1841790078
94,1,Chuck Todd Reminds Candidates That If They Want More Time To Speak There Are Melee Weapons Under Each Of Their Lecterns,https://politics.theonion.com/chuck-todd-reminds-candidates-that-if-they-want-more-ti-1841796036
95,1,"‘I’ll Rule You Peasants With An Iron Fist,’ Says Bloomberg To Standing Ovation During DNC Debate",https://politics.theonion.com/i-ll-rule-you-peasants-with-an-iron-fist-says-bloomb-1841790198
96,1,Last-Second DNC Rule Change Requires Candidates Spend At Least $300 Million Of Own Fortune To Make Debate Stage,https://politics.theonion.com/last-second-dnc-rule-change-requires-candidates-spend-a-1841790132
97,1,"‘I Love My Wife Marcia And 2 Beautiful Kids, Tad And Hayden,’ Says Buttigieg In Latest Campaign Shift",https://politics.theonion.com/i-love-my-wife-marcia-and-2-beautiful-kids-tad-and-ha-1841792292
98,1,Rod Blagojevich Somehow Already Governor Of Illinois Again Minutes After Prison Release,https://politics.theonion.com/rod-blagojevich-somehow-already-governor-of-illinois-ag-1841791235
99,1,Bloomberg Hires Thousands Of Canvassers To Stop Black Men On Street And Force Them To Hear Campaign Pitch,https://politics.theonion.com/bloomberg-hires-thousands-of-canvassers-to-stop-black-m-1841701859
100,1,A Guide To The USMCA Trade Deal,https://politics.theonion.com/a-guide-to-the-usmca-trade-deal-1841692887
101,1,Nevada Addresses Concerns About Election Security By Switching To Electronic Voters,https://politics.theonion.com/nevada-addresses-concerns-about-election-security-by-sw-1841692470
102,1,Mike Bloomberg: ‘I Apologize For The Damages My Past Policies Have Caused To The Negro Community’,https://politics.theonion.com/mike-bloomberg-i-apologize-for-the-damages-my-past-po-1841669163
103,1,Pros And Cons Of Abolishing The Senate,https://politics.theonion.com/pros-and-cons-of-abolishing-the-senate-1841646129
104,1,Takeaways From The New Hampshire Primaries,https://politics.theonion.com/takeaways-from-the-new-hampshire-primaries-1841642729
105,1,Moderates Worry Klobuchar Splitting People-Who-Will-Vote-For-Anybody Vote,https://politics.theonion.com/moderates-worry-klobuchar-splitting-people-who-will-vot-1841639479
106,1,Bloomberg Campaign Raises Visibility By Pumping $5 Million Into #BloombergIsRacist Hashtag,https://politics.theonion.com/bloomberg-campaign-raises-visibility-by-pumping-5-mill-1841607899
107,1,Poll Finds Bloomberg Trailing Among Young Black Males He’s Already Thrown In Prison,https://politics.theonion.com/poll-finds-bloomberg-trailing-among-young-black-males-h-1841604780
108,1,"‘He’s A Cop,’ Say Bernie Backers, Withdrawing Support After Realizing Candidate Vying To Be Commander In Chief",https://politics.theonion.com/he-s-a-cop-say-bernie-backers-withdrawing-support-a-1841583345
109,1,Increasingly Unhinged Centrists Announce Plan To Round Up Nation Into Camps To Force Them To Engage In Meaningful Dialogue,https://politics.theonion.com/increasingly-unhinged-centrists-announce-plan-to-round-1841577980
110,1,Timeline Of The Iowa Caucuses Debacle,https://politics.theonion.com/timeline-of-the-iowa-caucuses-debacle-1841526055
111,1,Buttigieg Touts Progress Connecting With Black Fortune 500 Executives,https://politics.theonion.com/buttigieg-touts-progress-connecting-with-black-fortune-1841523446
112,1,‘He’s Got The Mulan Virus!’ Yells Don Jr. Attempting To Quarantine Eric By Duct Taping Garbage Bag Over Head,https://politics.theonion.com/he-s-got-the-mulan-virus-yells-don-jr-attempting-to-1841516704
113,1,Thai Fishermen Find Iowa Caucus Results In Stomach of Tiger Shark,https://politics.theonion.com/thai-fishermen-find-iowa-caucus-results-in-stomach-of-t-1841501096
114,1,"Senate Republicans Say One Mistake Should Not Ruin The Life Of A Naive, Promising Young Man Like Trump",https://politics.theonion.com/senate-republicans-say-one-mistake-should-not-ruin-the-1841497854
115,1,Trump Spends National Prayer Breakfast Attacking God For Allowing Impeachment To Ever Happen,https://politics.theonion.com/trump-spends-national-prayer-breakfast-attacking-god-fo-1841496144
116,1,Sanders Makes Last-Minute Appeal To Moderates By Reminding Them All His Policies Would End Up Being Watered Down To Their Positions Anyway,https://politics.theonion.com/sanders-makes-last-minute-appeal-to-moderates-by-remind-1841494235
117,1,Both Parties Acting Exactly How Everyone Expected Them To Restore Nation’s Faith In Political Process,https://politics.theonion.com/both-parties-acting-exactly-how-everyone-expected-them-1841477562
118,1,"Rush Limbaugh Admits Presidential Medal Of Freedom Less Of An Honor Knowing That Rosa Parks, Maya Angelou Also Received It",https://politics.theonion.com/rush-limbaugh-admits-presidential-medal-of-freedom-less-1841475204
119,1,Speeding Democratic Campaign Buses Run Over 173 Iowans In Mad Dash To Get Fuck Out Of State,https://politics.theonion.com/speeding-democratic-campaign-buses-run-over-173-iowans-1841459055
120,1,DNC Offers Startup $500 Million To Develop Pencil That Can Accurately Record Election Results,https://politics.theonion.com/dnc-offers-startup-500-million-to-develop-pencil-that-1841455042
121,1,DNC Blames Iowa Caucus Problems On Single Fuck-Up Senior Citizen Volunteer,https://politics.theonion.com/dnc-blames-iowa-caucus-problems-on-single-fuck-up-senio-1841453688
122,1,Buttigieg: ‘My Record During My First Term As President Speaks For Itself’,https://politics.theonion.com/buttigieg-my-record-during-my-first-term-as-president-1841450882
123,1,DNC Mulls Asking Donald Trump To Run As Democrat In Effort To Stop Sanders,https://politics.theonion.com/dnc-mulls-asking-donald-trump-to-run-as-democrat-in-eff-1841432132
124,1,Report: Fighting Rising Tide Of Authoritarianism Sounds Like A Lot Of Work,https://politics.theonion.com/report-fighting-rising-tide-of-authoritarianism-sounds-1841390886
125,1,"‘You’re A Piece Of Shit And I Hope Everyone Like You Dies,’ Says Biden To Democratic Voter In Stirring Call For Party Unity",https://politics.theonion.com/you-re-a-piece-of-shit-and-i-hope-everyone-like-you-di-1841363666
126,1,The Onion’s Guide To The 2020 Democratic Candidates,https://politics.theonion.com/the-onion-s-guide-to-the-2020-democratic-candidates-1841331219
127,1,Kushner Promises Israel Plan Will Relocate All Palestinians To Generous Swath Of Mediterranean Sea,https://politics.theonion.com/kushner-promises-israel-plan-will-relocate-all-palestin-1841330443
128,1,Sanders Unveils Job-Training Program To Provide Meaningful Work To Low-Skilled Op-Ed Writers,https://politics.theonion.com/sanders-unveils-job-training-program-to-provide-meaning-1841328164
129,1,Chris Matthews Warns Bernie Sanders Victory Runs Risk Of Making Him Look Stupid 2 Elections In A Row,https://politics.theonion.com/chris-matthews-warns-bernie-sanders-victory-runs-risk-o-1841315089
130,1,Joni Ernst Insists She Hasn’t Seen Any Impeachment Evidence That Has Changed Her Self-Serving Political Calculus,https://politics.theonion.com/joni-ernst-insists-she-hasn-t-seen-any-impeachment-evid-1841313516
131,1,Key Players In Trump’s Impeachment Trial,https://politics.theonion.com/key-players-in-trump-s-impeachment-trial-1841312649
132,1,CBS Inks Deal For 30-Episode Bloomberg Ad,https://politics.theonion.com/cbs-inks-deal-for-30-episode-bloomberg-ad-1841309602
133,1,Bolton Pledges To Donate All Proceeds From Book Towards Killing Iranians,https://politics.theonion.com/bolton-pledges-to-donate-all-proceeds-from-book-towards-1841270142
134,1,Amy Klobuchar Enters 18th Minute Of Tense Standoff With Iowa Rally Crowd Who Haven’t Laughed At Her Joke,https://politics.theonion.com/amy-klobuchar-enters-18th-minute-of-tense-standoff-with-1841264371
135,1,Mike Pompeo: ‘There Is Overwhelming And Undeniable Evidence To Support Going To War With Whoever’,https://politics.theonion.com/mike-pompeo-there-is-overwhelming-and-undeniable-evid-1841262653
136,1,Liberals Say Sanders’s Acceptance Of Rogan Endorsement Sends Dangerous Message He Trying To Win Election,https://politics.theonion.com/liberals-say-sanders-s-acceptance-of-rogan-endorsement-1841208921
137,1,Melting Giraffe Congressman Warns Impeachment Distracting From Surreal Issues,https://politics.theonion.com/melting-giraffe-congressman-warns-impeachment-distracti-1841207701
138,1,Trump Makes Powerful Pro-Life Case By Speaking About The Joys Of Neglecting A Child,https://politics.theonion.com/trump-makes-powerful-pro-life-case-by-speaking-about-th-1841205766
139,1,Justice Roberts Sternly Admonishes Impeachment Participants To Remember They’re At Complete Farce Of A Trial,https://politics.theonion.com/justice-roberts-sternly-admonishes-impeachment-particip-1841162643
140,1,Senate Republicans Force Through Resolution Establishing Wingstop As Official Sponsor Of Impeachment Trial,https://politics.theonion.com/senate-republicans-force-through-resolution-establishin-1841160202
141,1,Contrarian ‘New York Times’ Travel Section Breaks With Paper To Endorse Deval Patrick For Democratic Nomination,https://politics.theonion.com/contrarian-new-york-times-travel-section-breaks-with-1841141745
142,1,Kellyanne Conway Suggests Martin Luther King Jr. Would Have Traveled To Ukraine For Dirt On Biden,https://politics.theonion.com/kellyanne-conway-suggests-martin-luther-king-jr-would-1841137797
143,1,"‘They Can’t Impeach Someone They Can’t See,’ Say Trump Boys Cramming Dad Into Homemade Bunker Under Oval Office Desk",https://politics.theonion.com/they-can-t-impeach-someone-they-can-t-see-say-trump-1841102118
144,1,Republican Senators Maintain They’ll Weigh All Evidence Before Carrying Trump Out On Shoulders,https://politics.theonion.com/republican-senators-maintain-they-ll-weigh-all-evidence-1841067235
145,1,CNN Reveals Bernie Sanders Running For President Of Country With History Of Sexism,https://politics.theonion.com/cnn-reveals-bernie-sanders-running-for-president-of-cou-1841049711
146,1,Stephen Miller Hurt At Being Passed Over For Job Stalking Female Ambassador,https://politics.theonion.com/stephen-miller-hurt-at-being-passed-over-for-job-stalki-1841048749
147,1,CNN Audio Analysis Reveals Biden Caught On Wet Mic While Chewing On Own Microphone,https://politics.theonion.com/cnn-audio-analysis-reveals-biden-caught-on-wet-mic-whil-1841044121
148,1,Public Disapproval Of Iran Approach Convinces Trump To Reverse Soleimani Killing,https://politics.theonion.com/public-disapproval-of-iran-approach-convinces-trump-to-1841025102
149,1,Biden Asks Advisors How Much Longer He Has To Pretend To Be Confused And Doddering To Avoid Criticism,https://politics.theonion.com/biden-asks-advisors-how-much-longer-he-has-to-pretend-t-1841023184
150,1,Pros And Cons Of Economic Sanctions,https://politics.theonion.com/pros-and-cons-of-economic-sanctions-1841022093
151,1,CNN Reminds Debate Participants To Keep Personal Attacks Off The Stage In Favor Of New Confession Cam Backstage,https://politics.theonion.com/cnn-reminds-debate-participants-to-keep-personal-attack-1841007211
152,1,CNN Moderator Challenges Sanders’ Support For Women By Asking Him To Name Every Part Of Female Reproductive System,https://politics.theonion.com/cnn-moderator-challenges-sanders-support-for-women-by-1841007164
153,1,"‘Hey, Remember John Hickenlooper?’ Says Wolf Blitzer To Break Tension From Debate",https://politics.theonion.com/hey-remember-john-hickenlooper-says-wolf-blitzer-to-1841007120
154,1,CNN Figures It Can Soak Tom Steyer For Couple Million By Pretending It Costs Money To Appear In Debate,https://politics.theonion.com/cnn-figures-it-can-soak-tom-steyer-for-couple-million-b-1841006882
155,1,Democratic Candidates Immediately Descend Into Violent Pandemonium Without Cory Booker’s Message Of Love,https://politics.theonion.com/democratic-candidates-immediately-descend-into-violent-1841003757
156,1,Swing Voter Really Relates To Buttigieg’s Complete Lack Of Conviction,https://politics.theonion.com/swing-voter-really-relates-to-buttigieg-s-complete-lack-1840998430
157,1,Trump Warns Iran Not To Kill Any Protesters Who U.S. Already Has Dibs On,https://politics.theonion.com/trump-warns-iran-not-to-kill-any-protesters-who-u-s-al-1840978731
158,1,Prominent Evangelical Magazine Calls For Removing Trump From Holy Trinity,https://politics.theonion.com/prominent-evangelical-magazine-calls-for-removing-trump-1840559882
159,1,DNC Bows To Pressure By Adding Andrew Cuomo To Increase Ethnic Representation On Debate Stage,https://politics.theonion.com/dnc-bows-to-pressure-by-adding-andrew-cuomo-to-increase-1840541816
160,1,DNC Eases Debate Requirements To 0.1% Above Whatever Cory Booker Polling,https://politics.theonion.com/dnc-eases-debate-requirements-to-0-1-above-whatever-co-1840541740
161,1,Trump Claims He Knows John Dingell Is In Hell Because He Sees Window Into Terrifying Inferno Every Time He Closes His Eyes,https://politics.theonion.com/trump-claims-he-knows-john-dingell-is-in-hell-because-h-1840538904
